gallery_id,gallery_name,gallery_type,page_no,post_no,title,writer,listed_at_raw,listed_at_iso,views,recommend,listed_comment_count,href,e_s_n_o,crawled_at
bitcoins_new1,비트코인,G,1,9348046,"한국주식, 코스피 6200돌파..증시·부동산 안정화",비갤러(211.36),2026-04-18 14:25:20,2026-04-18 14:25:20,281,7,6,https://gall.dcinside.com/board/view/?id=bitcoins_new1&no=9348046,,2026-04-18 23:36:42
bitcoins_new1,비트코인,G,1,9326574,"미국 트럼프, ""전쟁비용 2200조원 요구 및 어록",비갤러(211.118),2026-04-06 19:16:48,2026-04-06 19:16:48,2840,15,11,https://gall.dcinside.com/board/view/?id=bitcoins_new1&no=9326574,,2026-04-18 23:36:42
