candidate_type,rank,gallery_name,gall_id,gall_type,total_pages
knee_on_normal,91,중국 주식,chstock,M,2635
max_diff_on_normal,97,201505~201701 주식,stock_new1,G,84044
max_ratio_on_normal,92,증권,securities,M,9750
